arrangement_id	ast_status	canonical_eight_factors	coefficient_domain	parse_warnings	raw_equation	top_level_factor_count
75	parsed	"[""x"", ""y"", ""(x+y)"", ""(A0*x+A1*y+A1*z)"", ""z"", ""t"", ""((-A0+A1)*x+A2*y+A1*t)"", ""(x+y+z+t)""]"	Q(parameters)		xy(x + y)(A_{0}x + A_{1}y + A_{1}z)zt((-A_{0} + A_{1})x + A_{2}y + A_{1}t)(x + y + z + t)	8
76	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(y+t)"", ""(x+t)"", ""(A0*x+A2*y-A2*z)"", ""z"", ""(z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(y + t)(x + t)(A_{0}x + A_{2}y - A_{2}z)z(z + t)	8
77	parsed	"[""x"", ""(x+t)"", ""(A0*x+A1*t)"", ""y"", ""(y+t)"", ""z"", ""(z+t)"", ""(A0*x+A2*y+(-A0-A2)*z)""]"	Q(parameters)		x(x + t)(A_{0}x + A_{1}t)y(y + t)z(z + t)(A_{0}x + A_{2}y + (-A_{0} - A_{2})z)	8
78	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""z"", ""(A0*x-A0*y+A2*z)"", ""(x+t)"", ""(y+t)"", ""(z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)z(A_{0}x - A_{0}y + A_{2}z)(x + t)(y + t)(z + t)	8
79	parsed	"[""x"", ""(A0*x+A1*y-A1*z)"", ""(A0*x+A2*y-A2*z)"", ""y"", ""z"", ""(y+t)"", ""(z+t)"", ""(x+t)""]"	Q(parameters)		x(A_{0}x + A_{1}y - A_{1}z)(A_{0}x + A_{2}y - A_{2}z)yz(y + t)(z + t)(x + t)	8
80	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(A2*x+A3*y+2*A3*z)"", ""z"", ""(A2*x+A3*y+2*A3*t)"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(A_{2}x + A_{3}y + 2A_{3}z)z(A_{2}x + A_{3}y + 2A_{3}t)t(x + y + z + t)	8
81	parsed	"[""x"", ""(x+y)"", ""y"", ""z"", ""(A0*x+A1*y+A2*z)"", ""(A0*x+A3*y+A3*t)"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		x(x + y)yz(A_{0}x + A_{1}y + A_{2}z)(A_{0}x + A_{3}y + A_{3}t)t(x + y + z + t)	8
82	parsed	"[""x"", ""((A0-A2)*x+(A1-A2)*y)"", ""y"", ""z"", ""(A0*x+A1*y+A2*z)"", ""(A0*x+A3*y+A3*t)"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		x((A_{0} - A_{2})x + (A_{1} - A_{2})y)yz(A_{0}x + A_{1}y + A_{2}z)(A_{0}x + A_{3}y + A_{3}t)t(x + y + z + t)	8
83	parsed	"[""x"", ""(A0*x+A1*y)"", ""y"", ""z"", ""(A0*x+A2*y+A2*z)"", ""(A0*x+A3*y+A3*t)"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		x(A_{0}x + A_{1}y)yz(A_{0}x + A_{2}y + A_{2}z)(A_{0}x + A_{3}y + A_{3}t)t(x + y + z + t)	8
84	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""((-A2+A3)*x+(-A2+A3)*y+A3*z)"", ""z"", ""(A0*x+A2*y+A3*t)"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)((-A_{2} + A_{3})x + (-A_{2} + A_{3})y + A_{3}z)z(A_{0}x + A_{2}y + A_{3}t)t(x + y + z + t)	8
85	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(A0*x+A2*y+A3*z)"", ""z"", ""(A4*x+(-A2+A3)*y+A3*t)"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(A_{0}x + A_{2}y + A_{3}z)z(A_{4}x + (-A_{2} + A_{3})y + A_{3}t)t(x + y + z + t)	8
