arrangement_id	classification	historical_factor_count	historical_field_absent	historical_has_parameters	new_parameter_symbols	new_raw_factor_count	new_source_field_absent
35	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1}	8	False
36	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1}	8	False
37	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
38	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
39	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
40	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
41	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
42	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
43	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
44	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
45	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
46	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
47	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
48	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3},A_{4}	8	False
49	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3},A_{4}	8	False
50	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3},A_{4}	8	False
51	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3},A_{4},A_{5}	8	False
52	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
53	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1}	8	False
54	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
55	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
56	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
57	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
58	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
59	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
60	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
61	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
62	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3},A_{4}	8	False
63	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3},A_{4}	8	False
64	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
65	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
66	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3},A_{4}	8	False
67	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3},A_{4},A_{5}	8	False
