claim_level	directed	evidence_type	join_state	relationship_id	relationship_type	source_id	target_id
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:6e5c48504201b5b031cff35dc9ab4f2a3be4e39b83daee97fe8adfe2ff31aab7	source_crosswalk	cynk_meyer_table1:34	cynk_meyer_table1:34
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:d0b98b0998c3689119b27676de4fce6062eacb5e5c10323241418d510b141b38	source_crosswalk	cynk_meyer_table1:35	cynk_meyer_table1:35
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:d4ab473686d5b07c373d9d8b4daee4e62a75fbe8b55c5b5e1b51a7bceed3f347	source_crosswalk	cynk_meyer_table1:36	cynk_meyer_table1:36
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:c9820e3a81d6103d3c14b8d7d0625788763f8b1cdd2adc21c702b96b350300f1	source_crosswalk	cynk_meyer_table1:37	cynk_meyer_table1:37
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:c8eebf1f24961ca7d409dbf7157c6328d512b0663dd2a91bd040b72b14e2e636	source_crosswalk	cynk_meyer_table1:38	cynk_meyer_table1:38
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:0dff8ad19d481dcbf4197c56b385624894fb3d02fcc8540f429ee73e1645dd93	source_crosswalk	cynk_meyer_table1:39	cynk_meyer_table1:39
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:deef2bdffe230a885264486292fe09e76427b89ae4c7892fd2dda707a87700f0	source_crosswalk	cynk_meyer_table1:40	cynk_meyer_table1:40
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:ba683d8d914a8d048c9e038a9ab661a8009c681d7bca309108d86a1edc107628	source_crosswalk	cynk_meyer_table1:41	cynk_meyer_table1:41
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:8c91bad51a94a75573618e509bdedbe9f9fe14b3208569d4e99bd7ff593e189c	source_crosswalk	cynk_meyer_table1:42	cynk_meyer_table1:42
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:b2f7deb689c55f9e688c8ce78656ed78cc8a9e21e24a714f9638854a255c7476	source_crosswalk	cynk_meyer_table1:43	cynk_meyer_table1:43
